,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RAD17,14.34843834,-1.799106079,0.159093214,-11.30850294,1.19E-29,4.14E-25
PDE10A,11.07321356,-1.809660575,0.202419308,-8.940157904,3.89E-19,6.76E-15
KCNQ3,178.8522495,-1.264465164,0.1440469,-8.778149101,1.66E-18,1.93E-14
MAK,45.83936049,-0.940253837,0.109015273,-8.62497348,6.41E-18,5.57E-14
ZMYND10,127.7198316,-0.996646023,0.117304946,-8.496197805,1.96E-17,1.36E-13
SURF6,2308.804591,-0.731658002,0.086421929,-8.466115167,2.54E-17,1.47E-13
AHCTF1,1027.722473,-1.085124672,0.131367326,-8.260232643,1.45E-16,7.22E-13
EFCAB3,218.4750727,0.899684671,0.110139103,8.168621752,3.12E-16,1.36E-12
BEX2,14.2527617,-1.413313626,0.175014463,-8.075410482,6.73E-16,2.60E-12
CALHM6,89.13121856,-0.749828043,0.093251858,-8.040891227,8.92E-16,2.97E-12
PECR,119.725089,-0.803686799,0.100029904,-8.034465355,9.40E-16,2.97E-12
GGH,2205.11785,0.535576439,0.067243952,7.964678173,1.66E-15,4.80E-12
HRNR,110.1930157,-0.739581846,0.094247712,-7.847212703,4.25E-15,1.06E-11
P2RY6,5.030783896,-1.424097207,0.181485257,-7.846902976,4.26E-15,1.06E-11
ROPN1L,9717.466667,0.972208339,0.125557544,7.743129606,9.70E-15,2.25E-11
PDXK,318.6886473,-0.867819536,0.112402448,-7.72064621,1.16E-14,2.52E-11
HNRNPA1P9,2.347239856,-2.588357505,0.341576195,-7.577687029,3.52E-14,6.70E-11
OR52Z1,16.30509406,-1.070383843,0.141333986,-7.573435628,3.63E-14,6.70E-11
SH2B3,1397.043924,-0.82203138,0.108555887,-7.572425586,3.66E-14,6.70E-11
AGGF1P4,3.579924559,-1.420975189,0.188283362,-7.547003483,4.45E-14,7.74E-11
YPEL1,254.7840277,-0.896785634,0.118968933,-7.537981682,4.77E-14,7.90E-11
RASAL1,12895.938,0.743801577,0.099290114,7.491194689,6.82E-14,1.08E-10
IFI6,1301.010098,0.511924872,0.068790118,7.441837351,9.93E-14,1.50E-10
HSF5,14.3609652,-0.93044676,0.125141381,-7.435164524,1.04E-13,1.51E-10
RNASEK.C17orf49,42.19281093,-0.576291279,0.077579757,-7.428371804,1.10E-13,1.52E-10
RXFP3,26142.93137,0.624170256,0.084075887,7.423891402,1.14E-13,1.52E-10
PGBD2,4.588239209,-1.860402386,0.252166782,-7.377666354,1.61E-13,2.00E-10
PRM3,5.816715557,-1.109938432,0.150426409,-7.378614183,1.60E-13,2.00E-10
TLL1,205.2293206,0.774635581,0.105553193,7.338817169,2.15E-13,2.58E-10
FCRL2,106.245166,-0.853653712,0.116870993,-7.304239379,2.79E-13,3.18E-10
RPSAP67,283.9534667,-0.448021415,0.061391446,-7.297782427,2.93E-13,3.18E-10
UGT3A1,120.8153751,0.930385094,0.127459893,7.299434144,2.89E-13,3.18E-10
FCN2,359.2383393,-0.448741297,0.06188041,-7.251750595,4.11E-13,4.33E-10
MYO10,32.16831058,-0.978237377,0.13497165,-7.247724813,4.24E-13,4.33E-10
FBXO43,50.87373241,0.898898744,0.124156802,7.240028162,4.49E-13,4.46E-10
QKI,95.17936841,-0.855754844,0.118288728,-7.23445807,4.67E-13,4.51E-10
CECR2,7758.764608,0.846890211,0.117319205,7.218683506,5.25E-13,4.93E-10
PRRC1,263.9480442,0.906641572,0.125719356,7.211630719,5.53E-13,4.93E-10
ZNF354A,13.5819684,-1.595296411,0.221149876,-7.213643712,5.45E-13,4.93E-10
MRPS18C,6.530017946,-1.012176041,0.140506622,-7.203760431,5.86E-13,5.09E-10
RNFT1,324.5511517,-0.996471691,0.138601953,-7.189449119,6.51E-13,5.52E-10
ZCCHC14,1806.700362,0.440689165,0.062243772,7.080052367,1.44E-12,1.19E-09
TMED2.DT,11.48151676,-1.409794927,0.199497851,-7.066717364,1.59E-12,1.28E-09
DLEC1,79.46117695,-0.754279785,0.107130587,-7.040750949,1.91E-12,1.51E-09
PLP1,2356.364995,1.008325506,0.143396553,7.031727667,2.04E-12,1.58E-09
LRRC49,1724.863017,0.731773195,0.10415742,7.025646324,2.13E-12,1.61E-09
RNF146,1062.47851,-0.68564503,0.098127178,-6.987310186,2.80E-12,2.03E-09
TMEM43,3639.801038,0.633091794,0.090608709,6.987096465,2.81E-12,2.03E-09
OR51E1,249.0290356,-0.725145994,0.103886152,-6.980198795,2.95E-12,2.09E-09
GKAP1,18.99712855,-1.172103434,0.168398912,-6.960279157,3.40E-12,2.36E-09
ECM2,2079.919956,0.753648898,0.108900679,6.920516066,4.50E-12,3.07E-09
MAN1A2,42.33929124,-0.737524904,0.106879826,-6.900506239,5.18E-12,3.47E-09
EZH2P1,11.92953414,-1.339950354,0.194594101,-6.885873455,5.74E-12,3.77E-09
POLD2,19650.53632,0.617915252,0.089870709,6.875602311,6.17E-12,3.97E-09
RPL23AP57,383.3271097,0.66532261,0.097643184,6.813815176,9.50E-12,5.90E-09
TLR10,439.9195544,-0.766715906,0.112507234,-6.814814313,9.44E-12,5.90E-09
CHRNA4,14.46588731,-0.951694296,0.139926385,-6.801392704,1.04E-11,6.32E-09
IK,62913.87862,0.549337538,0.080884427,6.791635429,1.11E-11,6.65E-09
PTGDS,97.22583937,-0.963081005,0.142176418,-6.773844893,1.25E-11,7.39E-09
IL17RB,752.8518516,-0.491273797,0.07260505,-6.766385992,1.32E-11,7.59E-09
RNF24,300.2177272,0.601272531,0.088903615,6.763195521,1.35E-11,7.59E-09
VWCE,380.8225013,-0.700302613,0.103551055,-6.762872787,1.35E-11,7.59E-09
DENND5A,207.5524338,-0.812637539,0.120330636,-6.75337193,1.44E-11,7.97E-09
ZDHHC1,24.07172632,-1.067598721,0.158857111,-6.720496904,1.81E-11,9.84E-09
ZNRF3.IT1,2.332617748,-1.479627996,0.220565174,-6.708348236,1.97E-11,1.05E-08
C1QL4,249.7077094,0.72295644,0.107906141,6.699863702,2.09E-11,1.10E-08
OR9Q2,9950.687826,0.713425328,0.106726132,6.684635853,2.31E-11,1.20E-08
RN7SL37P,8.043602595,-0.895650519,0.134564164,-6.655936436,2.82E-11,1.44E-08
GXYLT1,1022.910214,-0.660669804,0.099415424,-6.645546322,3.02E-11,1.47E-08
PCSK7,14.84401531,-1.018935324,0.153350969,-6.644466143,3.04E-11,1.47E-08
TRABD,303.4993914,-0.920747256,0.138546264,-6.645774691,3.02E-11,1.47E-08
ZNF394,11.51738513,-0.87676971,0.131896247,-6.647419686,2.98E-11,1.47E-08
ZNF516,65.74958745,-0.873545846,0.131540731,-6.640877243,3.12E-11,1.49E-08
TTLL5,6270.216463,0.511053393,0.077185145,6.621136636,3.56E-11,1.67E-08
AGPAT1,7.327348334,-1.647827219,0.250607481,-6.57533133,4.85E-11,2.24E-08
PPP4R1,327.8988241,0.95729874,0.145623675,6.573785076,4.91E-11,2.24E-08
CMA1,5793.562661,0.656671658,0.100068661,6.562210882,5.30E-11,2.34E-08
CYTH3,2084.144293,0.318782505,0.048581895,6.561755209,5.32E-11,2.34E-08
NEBL,1029.374937,0.651970138,0.099388982,6.559782827,5.39E-11,2.34E-08
SSPN,799.5290588,-0.450537378,0.0686521,-6.562616071,5.29E-11,2.34E-08
LNX2,534.8422586,-0.600349098,0.09164957,-6.550484644,5.74E-11,2.43E-08
PBRM1,1183.490944,0.468938218,0.071577719,6.551455189,5.70E-11,2.43E-08
ANAPC13,4724.276973,0.613706326,0.093903145,6.535524692,6.34E-11,2.66E-08
OR2G2,596.1383605,0.430951587,0.066005895,6.528986369,6.62E-11,2.71E-08
RAD23B,19.16910001,-0.736701974,0.112837636,-6.528867466,6.63E-11,2.71E-08
ANKRD45,1394.372069,0.424570575,0.065061861,6.525644462,6.77E-11,2.74E-08
NFIL3,50.69674675,-0.82922591,0.1272245,-6.517816202,7.13E-11,2.85E-08
RBMY1J,38.52191142,-0.714484163,0.109841439,-6.504686856,7.79E-11,3.08E-08
HDAC9,844.0923969,0.626807549,0.096566408,6.490948164,8.53E-11,3.33E-08
HSD3BP4,7.471960147,0.743840578,0.114676029,6.486452169,8.79E-11,3.36E-08
MTND2P3,11.00204716,0.931240934,0.14359389,6.485240659,8.86E-11,3.36E-08
RPS25,68.85623728,-0.908191182,0.140048449,-6.484835687,8.88E-11,3.36E-08
GPX6,593.9299016,0.805278001,0.124549391,6.465531413,1.01E-10,3.73E-08
IL17REL,3321.704818,0.435371252,0.067322547,6.466945634,1.00E-10,3.73E-08
